"Country","conspiracy","gdp","inequality","corruption","political_stability","pisa_math","pisa_reading","pisa_science","university_graduates","human_development_index","weirdness","hospitalbeds_per_1000_people","pandemic_response","power_distance","individualism","masculinity","uncertainty_avoidance","longterm_orientation","indulgence","dataset","vi"
"Ireland",1.6,133437.470117019,29,-76,78.0218154,492,516,504,41.8523570536881,0.949,NA,2.96,55.3,28,70,68,35,24.4332493702771,64.9553571428571,"ManyLabs COVID",0.0064
"Iraq",5.33,14464.3186928173,29.8,-28,30.6332522,NA,NA,NA,10.9389921650499,0.695,0.1886,1.06,24,NA,NA,NA,NA,24.9370277078086,16.7410714285714,"ManyLabs COVID",0.0144
"Israel",2.65,57235.7763244136,38.3,-62,48.1722073,458,474,465,38.2999787289694,0.919,NA,3.14,47.2,13,54,47,81,37.5314861460957,NA,"ManyLabs COVID",0.0049
"Italy",3.3,62014.2675153689,34.3,-53,71.1675431,471,482,477,17.5816398207436,0.915,0.064,3.06,51.9,50,76,70,75,61.4609571788413,29.6875,"ManyLabs COVID",0.0064
"Japan",3.76,52039.1716551611,32.3,-71,85.270442,536,516,547,25.5403995513916,0.925,0.1197,12.59,60.5,54,46,95,92,87.9093198992443,41.7410714285714,"ManyLabs COVID",0.0036
"South Korea",3.61,61051.3492502498,32.9,-63,76.8155059,527,515,528,36.4573720087806,0.937,0.0875,12.81,65.4,60,18,39,85,100,29.4642857142857,"ManyLabs COVID",0.0121
"Latvia",4.03,43394.2732822314,34,-60,76.4873804,483,475,494,33.2018814850714,0.889,NA,4.95,61.9,44,70,9,63,68.7657430730479,12.9464285714286,"ManyLabs COVID",0.0081
"Morocco",4.15,10415.1240234375,39.5,-39,58.3648187,365,339,365,NA,0.71,0.1595,0.73,33.6,70,46,53,68,14.1057934508816,25.4464285714286,"ManyLabs COVID",0.0121
"Mexico",2.47,26185.3564713253,42.6,-27,53.6732923,395,415,410,18.3770809173584,0.789,0.0845,1.01,57,81,30,69,82,24.1813602015113,97.3214285714286,"ManyLabs COVID",0.0064
"North Macedonia",3.07,26995.4292563497,33.5,-40,68.5558552,389,359,380,20.033219660169,0.815,NA,4.74,42.2,NA,NA,NA,NA,61.712846347607,35.2678571428571,"ManyLabs COVID",0.0121
